Voltage A RMS,"Average Voltage A RMS, frequency"
214.136719,214.136719,60.187665
214.472046,214.3043825,60.020407
214.030518,214.21309433333332,60.187665
212.501785,213.785267,60.020407
214.533234,213.9348604,60.020407
213.926407,213.93345150000002,60.020407
214.368393,213.995586,60.020407
213.504166,213.9341585,60.020407
213.577576,213.89453822222222,60.020407
214.59462,213.96454640000002,60.020407
213.952408,213.9634429090909,60.020407
213.788422,213.94885783333334,60.020407
213.13237,213.88605107692308,60.187665
213.89064,213.88637885714283,60.187665
213.412476,213.85478533333335,60.020407
212.754044,213.785989,60.020407
213.691986,213.7804594117647,60.187665
213.045761,213.73964283333333,60.020407
213.331985,213.71818715789473,60.020407
212.421432,213.65334939999997,60.020407
213.489929,213.64556747619048,60.020407
213.141708,213.62266477272726,60.020407
212.756622,213.58501073913044,59.854076
213.434082,213.57872204166665,60.020407
212.069504,213.51835332,60.020407
211.503281,213.44085053846155,60.187665
214.030609,213.46269344444445,59.854076
213.51387,213.46452117857143,60.020407
211.864243,213.4093391724138,60.020407
213.561096,213.41439773333332,60.187665
213.189514,213.40714341935484,60.187665
213.060577,213.39631321875,60.187665
212.913193,213.3816732121212,60.020407
212.852585,213.36611179411764,59.854076
214.468658,213.39761311428572,60.187665
212.8116,213.38133497222222,60.020407
212.355698,213.35361505405407,60.020407
211.763809,213.31177805263158,60.020407
213.063553,213.3054133076923,60.187665
212.489517,213.28501590000002,60.020407
211.925354,213.25185341463413,60.020407
212.665115,213.23788345238094,60.020407
212.101837,213.21146376744184,60.187665
211.90242,213.18171277272725,60.187665
212.751572,213.1721540888889,60.020407
212.594666,213.15959999999998,60.020407
213.076675,213.15783563829788,60.187665
211.751373,213.1285343333333,60.187665
211.684845,213.0990712857143,60.020407
212.839859,213.09388704,60.020407
212.816757,213.08845311764705,60.020407
212.264313,213.0726042692308,60.020407
212.513489,213.0620549245283,60.020407
213.307404,213.06659842592595,60.020407
214.009079,213.08373443636364,60.020407
211.490448,213.05528289285715,60.020407
213.574402,213.06439024561402,60.020407
211.8134,213.04282144827587,60.187665
212.282684,213.02993776271185,60.020407
211.935257,213.01169308333334,60.020407
212.881027,213.00955101639346,60.020407
212.664047,213.00397837096776,60.020407
212.271729,212.99235536507936,60.020407
212.933212,212.99143125,60.020407
212.247864,212.97999175384615,60.020407
213.457199,212.98722216666667,60.187665
213.685989,212.99765152238805,60.187665
213.323914,213.0024495,60.020407
212.300232,212.9922724347826,60.020407
212.47702,212.98491168571428,60.187665
213.587967,212.9934054225352,60.020407
213.060257,212.99433391666668,60.020407
212.260071,212.98427552054792,60.187665
213.565475,212.99212956756756,60.020407
213.287979,212.99607422666665,60.187665
212.07692,212.98398009210527,60.020407
212.410889,212.97653735064935,60.020407
211.694565,212.96010180769233,59.854076
212.195908,212.9504284683544,60.187665
212.987991,212.950898,60.020407
211.954987,212.93860280246915,60.020407
212.252655,212.93023758536583,60.187665
213.391678,212.93579710843375,59.854076
213.113449,212.93791201190476,60.187665
212.398849,212.93157009411763,60.020407
212.185593,212.92289594186047,60.020407
213.315887,212.92741308045976,60.020407
212.12619,212.91830827272727,60.187665
212.335297,212.91175758426965,60.020407
212.362976,212.9056600111111,60.020407
212.372345,212.8997994065934,60.187665
211.529175,212.88490131521738,60.020407
212.990295,212.88603458064514,60.187665
212.371704,212.8805629787234,60.020407
212.184296,212.87323385263156,60.020407
213.536728,212.88014525000003,60.020407
212.791779,212.87923425773198,60.020407
212.53157,212.8756866632653,60.020407
213.231873,212.87928450505052,60.020407
212.143494,212.8719266,60.187665
212.496475,212.86820925742575,60.020407
212.438629,212.86399768627453,60.020407
212.65332,212.86195227184464,60.020407
213.179489,212.8650055096154,60.020407
212.251678,212.85916429523812,60.187665
213.041214,212.86088174528302,60.020407
211.691483,212.84995278504672,60.020407
211.554047,212.8379536574074,60.020407
213.024796,212.83966780733945,60.020407
212.375656,212.8354495181818,59.854076
211.521393,212.82361117117117,60.020407
212.28978,212.8188448214286,60.187665
211.768433,212.80954914159292,60.187665
210.820511,212.7921014385965,60.187665
212.139008,212.7864223652174,60.020407
211.428009,212.7747119051724,60.020407
212.114349,212.7690677777778,60.187665
211.690201,212.75992483898304,60.020407
210.986877,212.7450252773109,60.020407
211.547333,212.73504450833335,60.187665
210.757706,212.7187028677686,60.020407
211.374878,212.70768790983607,60.020407
211.522171,212.69804956097562,60.020407
211.722992,212.69018619354839,59.854076
211.618378,212.68161172799998,60.020407
212.415833,212.67950237301588,60.020407
212.415512,212.67742370866142,60.020407
210.52301,212.6605923515625,60.187665
212.29985,212.65779589922482,60.187665
212.364243,212.65553780000002,60.020407
211.67157,212.64802659541985,60.187665
211.750809,212.64122949242426,60.020407
212.057205,212.63683833082706,60.020407
212.668961,212.63707805223882,60.187665
211.38089,212.62777295555557,60.020407
211.938766,212.6227067279412,60.187665
212.520279,212.621959080292,60.020407
212.135132,212.6184313478261,60.020407
212.773239,212.61954507194244,60.020407
211.474213,212.61136412857144,60.020407
213.007278,212.6141720283688,60.020407
212.326263,212.6121445,60.020407
211.786789,212.60637278321676,60.020407
210.839294,212.59410140277777,60.020407
211.439529,212.58613883448274,60.187665
211.553589,212.57906657534247,60.020407
212.067734,212.57558812244898,60.187665
212.1595,212.57277671621623,60.020407
211.021683,212.56236669127514,60.020407
211.186356,212.55319328666667,59.854076
210.97052,212.5427120066225,60.020407
211.662277,212.53691967105263,60.020407
212.463882,212.5364423006536,60.020407
211.716675,212.53111913636363,60.187665
212.354965,212.5299826580645,60.020407
211.445602,212.5230315,60.187665
212.078918,212.52020275159236,59.854076
211.271667,212.5123006265823,60.187665
211.131378,212.50361557861635,60.020407
210.419998,212.49059296874998,60.355858
211.548767,212.4847431180124,60.187665
209.864334,212.46856775308643,60.020407
211.17952,212.46065948466259,60.020407
211.37471,212.4540378414634,59.854076
211.399551,212.4476470121212,60.020407
211.384857,212.44124466265063,60.020407
211.568039,212.43601588622755,60.187665
210.590302,212.4250294940476,60.020407
210.694901,212.41479204733727,60.187665
209.965714,212.40038570588234,59.854076
212.145767,212.39889670760235,60.020407
211.138306,212.39156769186047,60.187665
209.944305,212.37742166473987,60.020407
210.593994,212.36717208045977,60.187665
210.68187,212.35754178285714,60.020407
211.724335,212.35394401704545,60.020407
211.17421,212.34727885310733,60.020407
210.02623,212.334239252809,59.854076
211.222794,212.32803006145252,60.020407
211.546783,212.3236898,60.187665
211.025177,212.31651569613263,60.020407
211.366852,212.3112977637363,60.020407
210.876877,212.30345939890708,60.187665
210.96875,212.29620554347824,60.020407
211.893356,212.29402797837838,60.020407
210.206238,212.28280330107526,60.020407
210.965134,212.2757569411765,60.020407
211.65889,212.27247573404256,60.187665
210.297226,212.26202467724866,60.020407
211.388168,212.25742543157895,60.020407
210.279556,212.24707009424085,60.020407
210.719254,212.23911271875,60.020407
211.186447,212.23365849222796,60.020407
209.98822,212.2220840670103,60.020407
211.292236,212.21731561538462,60.020407
210.744202,212.20979972959185,60.020407
210.241013,212.19980588832487,60.187665
210.832581,212.19290071212123,60.020407
211.197662,212.1878995125628,60.020407
209.602295,212.17497149,60.020407
210.843033,212.16834493034827,60.020407
211.114304,212.16312690594057,60.187665
210.820602,212.1565134827586,60.187665
209.558807,212.14377962745098,60.020407
210.567993,212.13609286341466,60.020407
210.76564,212.12944017961166,60.187665
210.762924,212.12283865217393,60.020407
210.387253,212.1144944903846,60.020407
