Voltage A RMS,Average Voltage A RMS
231.027252,231.027252
226.991455,229.0093535
222.074265,226.69765733333335
221.678513,225.44287125
220.495316,224.4533602
225.422638,224.6149065
232.470688,225.73716100000001
221.789749,225.24373450000002
218.778534,224.5253788888889
218.254089,223.89824990000002
217.436768,223.31084245454548
216.950455,222.78081016666667
217.309784,222.359962
219.035461,222.12249764285713
219.235413,221.93002533333336
218.991989,221.7463980625
217.921478,221.5214027647059
219.531448,221.41084972222222
216.242554,221.13883415789473
216.699448,220.91686485
218.812546,220.8166591904762
217.38446,220.66065013636364
219.334412,220.60298760869563
223.837326,220.73775170833335
222.857925,220.82255863999998
218.969284,220.75127884615387
219.143738,220.6917402962963
218.71524,220.621151
220.926575,220.63168286206897
223.399826,220.7239543
224.363037,220.84134406451614
222.229446,220.88472225
223.438248,220.96210181818182
221.427292,220.97578388235294
219.432022,220.93167640000001
218.542252,220.8653035
217.41478,220.77204610810813
220.391296,220.76202636842103
215.861099,220.63636156410257
217.78978,220.565197025
218.231201,220.50827029268294
223.178223,220.5718405952381
223.897552,220.6491827209302
222.545883,220.69228954545454
224.131042,220.76870626666667
222.389389,220.8039385
223.203049,220.8549834042553
226.342331,220.96930314583335
226.609207,221.0844032244898
220.275757,221.06823029999998
217.862823,221.00537917647057
228.946259,221.15808840384614
225.017487,221.23090724528302
223.456451,221.27212101851853
220.48259,221.25776590909092
219.908844,221.23367801785713
222.675003,221.25896442105264
219.297958,221.22515396551722
221.996796,221.2382326440678
222.658691,221.26190695
220.475235,221.24901068852458
220.466003,221.23638153225806
226.991333,221.32772996825398
229.764191,221.459549671875
227.97258,221.55975013846154
232.383255,221.72374263636362
232.400757,221.8831010597015
230.562683,222.01074197058824
222.345688,222.01559626086956
221.57872,222.00935517142855
234.63501,222.18718129577465
229.192703,222.28448020833332
227.201035,222.3518302739726
230.850388,222.46667564864865
226.534637,222.52091513333332
224.805878,222.55098043421052
225.056564,222.5835204805195
221.454071,222.56904035897438
222.310974,222.56577369620254
223.954605,222.5831340875
222.575363,222.58303814814815
224.931946,222.61168336585368
230.9655,222.71233175903615
226.940018,222.76266135714286
222.426224,222.75870327058823
226.223251,222.7989887093023
223.199478,222.80359203448276
222.773987,222.80325561363637
234.299759,222.93242980898876
234.631332,223.0624176111111
224.519745,223.07843219780221
220.94957,223.05529239130433
221.314758,223.03657696774192
220.19281,223.00632412765955
219.82222,222.97280724210526
217.481812,222.915609375
225.288467,222.9400718247423
247.738068,223.19311260204083
240.152496,223.3644195050505
234.078995,223.47156525999998
224.879852,223.4855086930693
220.431259,223.45556506862746
217.429916,223.39706362135922
217.543472,223.34077908653848
221.451416,223.32278515238096
220.01033,223.2915355754717
218.855484,223.25007714953273
217.888184,223.20042999074073
219.98848,223.17096255963304
218.289581,223.12658636363636
219.010696,223.08950627027025
222.899933,223.0878136517857
220.816803,223.0677162123894
226.769089,223.10018439473683
224.588333,223.1131248173913
217.689331,223.06636797413793
216.082779,223.00667917948718
216.957184,222.95541227118642
220.4077,222.93400292436974
226.290512,222.96197383333336
226.062393,222.9875971322314
220.654526,222.96847359836065
216.147552,222.9130189512195
