Voltage A RMS,"Average Voltage A RMS, frequency"
214.872589,214.872589,60.187665
215.669113,215.270851,59.854076
215.542236,215.36131266666666,60.187665
215.860077,215.48600375,60.187665
214.943542,215.3775114,59.854076
215.157806,215.34089383333333,60.188027
213.10498,215.02147757142856,60.188027
215.106567,215.03211375,60.188027
215.546799,215.089301,60.022929
214.755203,215.0558912,60.022929
215.660889,215.110891,59.854434
215.649506,215.15577558333334,60.022929
215.461975,215.1793293846154,60.022929
214.964233,215.16396535714284,60.020767
215.652985,215.19656666666666,60.022568
215.06749,215.188499375,60.022568
215.116577,215.18426864705884,60.020407
215.44165,215.19856761111112,60.022929
215.133484,215.19514215789476,60.022929
215.841888,215.22747945,60.020767
214.24765,215.18082090476193,60.023289
215.288971,215.18573681818182,60.023289
214.576431,215.15924526086957,59.854792
214.51767,215.13251295833334,60.023289
215.021515,215.12807304,60.023289
215.6772,215.14919330769231,60.021488
215.886215,215.1764904074074,60.023649
213.748978,215.12550782142856,60.023649
215.193787,215.12786227586207,60.021488
213.56427,215.0757425333333,60.023289
214.384186,215.05343425806453,60.023289
215.476105,215.06664271875,60.021127
215.747208,215.08726590909092,60.022929
214.599411,215.07291723529414,60.022929
214.553482,215.05807622857142,60.020767
215.012115,215.0567995277778,60.022929
214.642151,215.04559281081083,60.022929
215.364868,215.05399478947368,60.020767
215.023865,215.05322223076922,60.022929
214.377945,215.03634029999998,60.022929
215.019501,215.03592958536586,60.020767
214.29538,215.01829745238095,60.022568
213.725891,214.9882414883721,60.022568
215.467102,214.9991246818182,60.020767
212.999176,214.95468137777777,60.189839
215.018402,214.95606660869564,60.189839
214.253632,214.94112119148937,60.020407
214.748398,214.937106125,60.022208
213.208435,214.90182712244896,60.022208
214.625626,214.8963031,60.355858
215.21405,214.90253343137258,60.189839
214.445984,214.8937536346154,60.189839
213.955048,214.8760422075472,60.187665
214.120789,214.86205603703706,60.189476
214.057037,214.84741932727272,60.189476
214.098541,214.83404650000003,60.187665
214.54425,214.8289623508772,60.189839
213.936813,214.81358046551725,60.189839
212.898621,214.78112352542374,60.020407
212.821671,214.74846598333335,60.020767
212.495895,214.71153859016394,60.020767
