Voltage A RMS,"Average Voltage A RMS, frequency"
3.521729,3.521729,59.9952
3.503593,3.512661,60.050803
3.505582,3.510301333333333,60.050803
3.489832,3.505184,60.050803
3.499353,3.5040177999999997,60.050803
3.506041,3.5043550000000003,60.050803
3.503915,3.504292142857143,60.050803
3.505928,3.504496625,60.051043
3.498651,3.5038471111111114,60.106509
3.494896,3.5029519999999996,60.106509
3.519577,3.504463363636364,60.051043
3.48751,3.5030505833333336,60.106509
3.497526,3.5026256153846154,60.106509
3.490805,3.501781285714286,60.106509
3.511942,3.5024586666666666,60.050803
3.515136,3.503251,60.050803
3.515404,3.503965882352941,60.051043
3.510985,3.5043558333333333,60.050803
3.497485,3.503994210526316,60.050803
3.515131,3.50455105,60.051043
3.492804,3.503991666666667,60.050803
3.518752,3.5046625909090907,60.050803
3.518251,3.5052533913043478,60.051043
3.500571,3.5050582916666664,60.050803
3.49799,3.50477556,60.050803
3.511613,3.5050385384615383,60.049841
3.505817,3.5050673703703703,60.050803
3.509361,3.505220714285714,60.050803
3.509705,3.505375344827586,60.049841
3.499442,3.5051775666666667,60.050803
3.497734,3.504937451612903,60.050803
3.505364,3.50495078125,60.049841
3.501354,3.504841787878788,60.050803
3.501119,3.5047322941176473,60.050803
3.492877,3.5043935714285714,60.049841
3.499508,3.5042578611111113,59.9952
3.481411,3.5036403783783783,59.9952
3.505332,3.503684894736842,60.050803
3.485491,3.503218384615385,60.050803
3.48889,3.502860175,60.050803
3.501982,3.502838756097561,59.994001
3.515393,3.5031376666666665,60.050803
3.491382,3.5028642790697675,60.050803
3.508557,3.502993659090909,60.050803
3.488829,3.502678888888889,59.9952
3.496712,3.5025491739130437,59.9952
3.496815,3.502427170212766,60.050803
3.506959,3.5025215833333334,60.050803
3.492961,3.5023264693877554,60.050803
3.487552,3.5020309800000002,60.050803
3.503164,3.5020531960784314,60.050803
3.476096,3.501554019230769,60.050803
3.486834,3.501276283018868,60.050803
3.501906,3.5012879444444445,60.050803
3.482119,3.5009394181818183,60.050803
3.489422,3.5007337499999998,60.052005
3.484234,3.5004442807017546,60.050803
3.496648,3.500378827586207,60.050803
3.489055,3.500186898305085,60.052005
3.484657,3.499928066666667,60.050803
3.487744,3.4997283278688527,60.050803
3.502054,3.4997658387096773,60.052005
3.502505,3.4998093174603175,60.050803
3.462931,3.49923309375,60.050803
3.489361,3.4990812153846154,60.052005
3.470709,3.4986513333333336,60.050803
3.480159,3.498375328358209,60.050803
3.483747,3.4981602058823533,59.9952
3.479637,3.4978917536231884,60.050803
3.486399,3.497727571428572,60.050803
3.487051,3.4975771971830985,60.052005
3.470351,3.4971990555555554,59.9952
3.485479,3.4970385068493153,59.9952
3.485124,3.4968775,59.9952
3.479608,3.4966472399999997,60.106509
3.476502,3.4963821710526317,60.106509
3.484125,3.4962229870129873,59.9952
3.465812,3.4958331025641027,60.050803
3.485545,3.4957028734177213,60.050803
3.485766,3.4955786625000003,60.050803
3.487455,3.4954783703703707,60.050803
3.49297,3.4954477804878046,60.050803
3.484561,3.4953166144578316,60.050803
3.507793,3.4954651428571433,60.050803
3.498811,3.495504505882353,60.050803
3.482814,3.4953569418604653,60.050803
3.472903,3.4950988505747125,60.050803
3.496063,3.495109806818182,60.050803
3.494284,3.4951005280898872,60.050803
3.468725,3.4948074666666664,60.050803
3.486901,3.494720582417582,60.050803
3.478503,3.4945443043478264,60.050803
