Voltage A RMS,Average Voltage A RMS
213.732239,213.732239
215.891678,214.8119585
210.766922,213.463613
208.736557,212.281849
208.900101,211.6054994
209.244095,211.21193200000002
210.693741,211.13790471428572
212.203827,211.271145
212.102875,211.36355944444443
215.712585,211.79846200000003
212.442215,211.856985
209.970596,211.69978591666666
210.101303,211.57682569230766
210.238022,211.48119685714283
209.479965,211.34778139999997
210.832443,211.31557275
210.506805,211.2679981764706
213.557693,211.39520344444446
215.771927,211.62555731578948
216.696854,211.87912215
214.397278,211.99903433333333
207.762894,211.80648250000002
207.57869,211.62266543478262
207.481094,211.45009995833334
210.597961,211.4160144
209.563019,211.34474534615384
211.843613,211.36322192592593
208.746506,211.2697677857143
207.032608,211.1236588275862
207.365097,210.9983734333333
207.234024,210.8769428064516
210.064102,210.85154153125
210.334381,210.83587
208.545303,210.76850038235293
211.343506,210.78492911428572
210.018234,210.7636320277778
210.460678,210.7554440810811
211.498932,210.7750095526316
210.160416,210.75925074358975
209.714523,210.73313255
209.343246,210.69923287804878
208.96048,210.65783399999998
213.881714,210.7328079534884
214.256424,210.81289013636362
209.783508,210.7900149777778
208.787674,210.74648582608694
209.804718,210.72644821276597
208.69136,210.68405054166666
208.444458,210.63834457142855
212.943588,210.68444943999998
208.869659,210.64886531372548
210.216431,210.64054926923077
208.832016,210.606426
209.103577,210.57859546296297
208.834641,210.5468872
208.481201,210.50999994642856
208.480164,210.4743887894737
208.628693,210.44256644827584
207.360031,210.39032008474575
207.70697,210.34559758333336
209.502045,210.33176885245902
209.87529,210.32440629032257
208.513016,210.29565406349207
207.371796,210.24996878125
206.190186,210.18751058461538
208.366913,210.15992577272726
208.665695,210.13762382089553
209.899536,210.13412252941177
209.258713,210.1214354347826
209.142441,210.10744979999998
209.513474,210.09908394366198
211.863876,210.12359494444445
210.900742,210.13424079452054
209.754089,210.1291036081081
209.085464,210.11518841333333
210.803055,210.12423928947368
209.269852,210.11314335064935
209.660797,210.10734403846152
209.592178,210.1008229493671
213.466125,210.142889225
211.143829,210.15524650617286
209.658478,210.14918835365856
210.132843,210.14899142168676
211.86348,210.16940200000002
211.223358,210.18180148235294
211.350662,210.19539288372096
211.256241,210.2075865402299
211.207626,210.218950625
210.694717,210.22429631460676
210.813171,210.23083936666666
211.284271,210.24241553846153
212.305359,210.2648388369565
212.855621,210.29269670967741
213.105209,210.32261705319152
212.389069,210.34436917894735
214.036484,210.38282870833334
212.219849,210.40176706185568
211.908218,210.4171390102041
212.704376,210.4402424141414
211.434448,210.45018446999998
213.290588,210.4783072772277
213.304138,210.50601150000003
212.307144,210.52349822330098
215.425156,210.57062954807694
213.807236,210.6014543714286
213.045319,210.6245096981132
212.237427,210.63958369158877
213.111176,210.66246880555556
213.356125,210.6871812477064
213.254318,210.71051885454546
212.98172,210.73098012612613
213.301315,210.75392954464286
212.720734,210.77133489380532
213.285477,210.7933887719298
213.136353,210.81376237391305
214.105392,210.8421384913793
213.507477,210.86491916239316
213.233963,210.88499580508474
213.343002,210.90565131932775
213.496475,210.92724151666667
213.937378,210.95211867768595
213.28273,210.9712220491803
213.446793,210.99134864227642
213.986267,211.0155012096774
213.844604,211.038134032
213.339127,211.05639588095238
213.496674,211.07561066929134
214.671387,211.103702671875
214.879105,211.13296935658914
215.94783,211.17000674615386
214.364273,211.19439045801528
214.617157,211.22032050757576
214.707489,211.24653981954887
216.596008,211.2864612238806
217.322998,211.3311763111111
214.907272,211.35747113235294
215.228424,211.38572626277372
215.116806,211.41276307246378
217.223358,211.45456591366906
217.390976,211.49696884285714
216.444443,211.53205731205674
215.728775,211.56161166197182
216.682098,211.59741925874127
217.170731,211.63612281250002
216.105545,211.6669464137931
215.613419,211.69397704794522
215.297104,211.71848811564624
215.660049,211.7451202837838
215.077118,211.76748268456376
229.570038,211.88616638666667
229.245758,212.00113056953643
231.67778,212.1305822105263
216.817581,212.1612161895425
216.775848,212.19118133116882
215.805603,212.21450018064516
215.138763,212.2332454551282
215.767014,212.25575353503186
215.007538,212.27316989240504
215.209518,212.29163749056605
216.926758,212.32060699375
216.100037,212.34408171428572
214.69635,212.35860188888887
214.60791,212.3724013251534
215.254761,212.3899766890244
214.969391,212.4056095030303
216.084656,212.42777243373493
215.113007,212.44385168263472
216.370132,212.46722239880953
217.001694,212.49405359171598
218.817413,212.5312498235294
219.850418,212.5740519766082
217.551727,212.6029919476744
216.409256,212.62499347398847
216.29895,212.64610816666666
215.786667,212.66405421714285
214.788712,212.67612613636365
214.284851,212.68521497740113
214.687958,212.69646634269662
215.963623,212.7147186145251
215.91066,212.73247384444443
216.76297,212.75474177900554
215.515732,212.76991205494505
215.765594,212.78628190163934
215.126022,212.7989978804348
215.992035,212.81625754054053
215.535492,212.83087708064517
215.284485,212.84399797860962
217.434143,212.86841364361703
218.865616,212.90014487301588
218.527481,212.92976243157895
221.290192,212.97353431413615
219.387604,213.00694092708332
218.634445,213.0360989792746
218.011612,213.06174595360824
217.470764,213.08435630256412
218.624573,213.11262271428572
218.170288,213.13829614213196
217.998322,213.1628417272727
218.296249,213.1886377437186
221.015121,213.22777016
221.406189,213.26845881094528
221.669479,213.31004801980197
223.281494,213.35916844334974
224.75354,213.41502320588233
220.477844,213.4494759902439
218.23555,213.47270935922327
218.271698,213.49589287922706
217.945908,213.51728718269231
219.017929,213.54360604306223
221.026337,213.57923809523808
222.703705,213.622482014218
220.846649,213.6565582735849
224.282242,213.70644411267605
218.615631,213.72938423831775
216.979141,213.74449938604653
216.51442,213.7573230925926
218.086456,213.7772730138249
218.90033,213.80077327522935
220.937881,213.8333628082192
219.142853,213.85749685454545
220.041458,213.88547857918553
220.18631,213.9138607027027
216.642105,213.9260949820628
216.058624,213.93561520089287
215.186661,213.94117540444444
216.163666,213.95100943362831
215.913284,213.959653814978
214.963318,213.96405585087717
215.14415,213.96920910043667
216.728363,213.98120542173913
217.022308,213.99437036796536
216.266144,214.00416249568966
215.728348,214.01156243347637
216.660049,214.02288075213676
214.335632,214.02421160851063
214.969894,214.02821873728814
216.693878,214.03946624472573
216.561829,214.05006440756304
216.510132,214.06035757740585
216.0905,214.06881650416665
217.14119,214.0815649419087
216.294067,214.0907075123967
216.875,214.10216550617284
216.26619,214.11103445901637
215.383682,214.11622893877552
215.654007,214.1224800691057
215.132339,214.1265685668016
214.689926,214.12884016935485
215.170731,214.13302446987953
215.701218,214.13929724399998
215.947479,214.14650115537847
217.408554,214.15944580952382
215.935226,214.16646470355732
214.838043,214.16910871259842
216.603699,214.1786561254902
217.68866,214.192367078125
215.31752,214.19674510505837
215.34819,214.20120806976743
216.739334,214.2110077837838
216.288803,214.21899930384615
215.487152,214.2238581264368
215.899353,214.23025314503818
217.623901,214.24315674904943
216.920914,214.2532997689394
215.946838,214.25969047924528
214.285141,214.25978615789472
214.314911,214.25999261797753
216.91864,214.26991294402984
219.301117,214.28861630483271
218.156097,214.3029403074074
219.052948,214.32046801107012
217.100143,214.33068740441175
216.695389,214.33934931501832
219.974197,214.35991445255476
218.927994,214.3765256509091
217.688644,214.38852607971015
218.84166,214.40460237545128
220.923828,214.42805282733812
217.945709,214.4406609139785
217.856461,214.4528602
217.761673,214.46463533451958
217.10202,214.47398776241135
215.053543,214.4760356607774
214.723511,214.4769070528169
214.973557,214.47864968421052
215.513062,214.48226651048952
215.707489,214.48653557839722
214.970306,214.48821533680555
214.768723,214.4891859515571
214.65181,214.48974672413794
214.585144,214.49007454982817
215.297211,214.4928387157534
214.513687,214.4929098703072
215.273911,214.4955663367347
215.716949,214.49970661694917
215.422363,214.50282369932432
215.197876,214.50516394276093
215.56485,214.50871993624162
214.911621,214.51006743143813
215.182709,214.51230956999999
215.099655,214.51686762333333
214.621475,214.51263361333332
214.547455,214.52523539
215.60582,214.54813293333333
215.077881,214.56872553333335
214.729889,214.58701151333335
214.742554,214.60050755666666
213.538605,214.6049568166667
213.375687,214.60919952333333
213.502487,214.60183253
213.084808,214.60397450666667
214.608658,214.61943471333333
214.915207,214.63548106
214.24028,214.64882192
214.923553,214.66696721333335
214.342804,214.67866841666668
214.182053,214.69091924333333
215.07132,214.69596466666667
214.642227,214.69219900000002
215.24704,214.68736628666665
214.018677,214.68610428333332
214.025757,214.70698049333333
213.622681,214.72712713
213.622543,214.74759862666667
213.895096,214.75858907666665
213.857086,214.77290263333333
213.114761,214.77713979333333
213.0867,214.79160710666665
214.148132,214.81532552
214.08757,214.83773376333332
214.845718,214.86310607666667
214.832169,214.87899963333334
214.473663,214.89279724
214.143127,214.91145665333332
213.283401,214.91792297
212.73642,214.92698359
213.897415,214.93843938
213.369171,214.94467351
213.249664,214.95497100333333
213.131454,214.96636077333335
212.973694,214.97846226666667
213.500488,214.99359562666666
213.472321,214.99223098333334
214.483459,214.9929877666667
214.145859,215.00752893666666
213.601822,215.02357609666666
213.689728,215.03652613
212.936234,215.05067571
212.666428,215.0647489433333
212.938721,215.06473272
214.187393,215.0824585
214.029709,215.09516942666667
213.451019,215.11056610333333
214.233093,215.12766449
214.454514,215.1463974
214.483215,215.16640411333333
215.450775,215.18963948333334
214.447403,215.20903518333333
214.95694,215.23435821333334
213.986755,215.25529082999998
214.39119,215.27158798
213.697067,215.28432723666668
214.020828,215.30268661
214.848404,215.32760863666667
213.864243,215.35318882666667
214.223709,215.37271148
215.198502,215.39448750333335
214.12561,215.40857441666668
213.244461,215.42186024333333
213.584183,215.43666605
213.175247,215.44887196000002
212.743393,215.4518036833333
214.059265,215.46233209333334
213.761414,215.47568984333333
213.225464,215.48948984333333
215.12912,215.50391006
215.237701,215.52380289
214.957626,215.54145898666667
214.573029,215.55806182333333
213.764587,215.55905669666666
214.130859,215.56901346333333
214.217484,215.58421015
214.032669,215.59720957
214.536102,215.60611831
213.797318,215.61469817666668
214.070053,215.62376281333334
213.858521,215.63243708
212.51741,215.63680302666668
215.564713,215.65303634666665
214.188385,215.66428706000002
214.437256,215.67479701
214.524551,215.68219431666668
214.404861,215.68735845
214.819305,215.69307210333332
215.089569,215.70207377
215.137558,215.70574401666667
214.390015,215.71297790333333
214.545593,215.72176915333333
215.135742,215.72987370666667
215.146301,215.74224655
214.003616,215.74462331
213.261368,215.74448074333333
212.632172,215.74556417
212.933716,215.73725937
212.573532,215.73314702333334
212.820007,215.73239598333333
213.029037,215.73503468333334
212.829758,215.73409662333333
212.964493,215.73279118333335
213.001648,215.73194895
213.199936,215.73267633666669
213.358536,215.73286707333332
212.359451,215.73166279666665
212.507507,215.72906956333333
212.988541,215.72857685666668
212.468842,215.72312169
212.308578,215.71912536000002
212.345886,215.71616510333334
213.447754,215.71651427666666
214.831253,215.7209635366667
215.299973,215.72550552
211.82309,215.72064005333334
211.988388,215.71577870333334
212.023529,215.70923624333335
212.717331,215.70547866666666
213.250931,215.70518468
212.39328,215.7015067
211.897507,215.69226043333333
211.545395,215.68114806666668
212.345169,215.66913919666666
211.359192,215.65912226
213.339615,215.65486378666665
211.56955,215.64440399
212.445587,215.63056925333333
211.082993,215.60976923666666
211.386551,215.59803349999999
212.596588,215.58926071333332
210.899902,215.57520436666667
211.891052,215.55743001333335
211.686691,215.53841573
211.335403,215.52138559666665
210.833633,215.50506845666666
211.066956,215.48635131666668
210.302261,215.46345641666667
209.273239,215.44068206333333
209.921738,215.42170979333332
209.867416,215.40361083333335
209.850693,215.38424631333334
209.823334,215.3667337
208.878281,215.29776117666665
208.967621,215.23016738666666
208.98111,215.15451181999998
208.483856,215.12673273666667
208.142944,215.09795639
208.901184,215.07494165999998
208.093704,215.05145813000001
210.999191,215.03556538666666
207.715454,215.01125844
207.315811,214.98494608333334
207.219864,214.95258977
206.796448,214.92157780666665
206.381287,214.89386093000002
207.981918,214.87177429000002
207.161697,214.84479741
207.877777,214.82115869666666
207.427795,214.79230249333332
206.903885,214.76493875333333
205.832214,214.72981235999998
207.226074,214.69722696
207.017212,214.65789295666667
206.397858,214.61305109
206.504684,214.57622761333332
205.364975,214.53941334333334
205.237869,214.50254307333333
203.957397,214.46311217333334
205.139465,214.43094801666666
206.080276,214.40359943333334
205.918732,214.37436868
204.802673,214.33716551333333
204.615143,214.29951379000002
204.994431,214.26028532666666
204.609253,214.22393039666667
204.085495,214.18499673333335
203.760117,214.1471103833333
204.674179,214.10938419666667
203.621475,214.06967080666666
203.546982,214.03054579666667
203.254761,213.98328119
203.523712,213.93214151
204.812515,213.88642495666667
204.605621,213.83080972000002
204.677582,213.78177631333335
205.350479,213.73749642666667
206.553665,213.69930327
206.68959,213.66336602333334
204.500702,213.61628645333332
204.645447,213.57120365
203.974915,213.52445896
203.624268,213.47555235666667
204.111404,213.41920663333332
203.088989,213.3581493
203.518707,213.29764672666667
202.371475,213.2279466633333
203.044357,213.15558271999998
203.488922,213.09895298
202.974197,213.04808180333333
203.2892,212.99814014333333
204.379456,212.95291863666668
203.959274,212.90272312000002
204.070709,212.84620436
203.247894,212.78135165666666
203.591583,212.72383477
203.434509,212.65434232666667
203.688995,212.60458687333335
205.593185,212.56663368666665
204.621445,212.52699043666667
204.230042,212.48080239
205.352493,212.43564293333336
216.932281,212.42229093333333
206.531311,212.38025246
203.608246,212.32547508666667
203.468292,212.26974836
203.539581,212.22607328
202.912994,212.18225451333333
203.196701,212.14228798
203.731873,212.10084867
203.524048,212.05955121666665
204.948257,212.02616768
205.184601,211.99296918333334
205.183365,211.95448585666668
205.308121,211.91543856666667
205.876526,211.88080650666666
203.788086,211.84100563333334
204.666733,211.80102791333334
204.047089,211.76673277
204.069702,211.73039879666666
203.708405,211.68711388666668
204.329758,211.64634031666665
204.750793,211.60714252
203.230698,211.56427651333334
203.080551,211.51740771666667
202.470703,211.47132983666668
203.440186,211.42654712333334
203.517181,211.38405042666668
203.788116,211.34539854
203.40657,211.30457375
203.523407,211.26587731
204.070969,211.23048078666667
202.733643,211.18902382666667
202.480988,211.14495639333333
203.05809,211.10199176333333
204.134903,211.05774626000002
204.82608,211.02071577333334
203.963531,210.9844674
203.503555,210.94080025333335
202.717285,210.89089567
202.625397,210.84858859333335
202.115784,210.80448057333334
202.920181,210.75841673
202.414337,210.71216851
202.867188,210.67010196333334
202.100266,210.62410500666667
202.363144,210.57323581666665
202.322617,210.52457482666668
203.953049,210.48459553
204.878204,210.45323907333335
206.092941,210.42583250666667
205.222702,210.38684604666668
208.94989,210.35234195666666
207.59314,210.31713209999998
207.109177,210.27731953
207.821152,210.24638956
208.864563,210.22028680666668
209.649384,210.18587076333336
203.962585,210.13598606666667
203.544266,210.08883814
202.774521,210.03528101
203.114349,209.97591608
205.009491,209.93279535333332
207.633957,209.89872034
206.980606,209.86278345
206.707794,209.82813603
208.595963,209.80661076333334
207.571732,209.7827715
207.44075,209.75766214333333
206.230591,209.72672057333335
206.647858,209.69652180333333
203.531479,209.65839238
205.608749,209.62785913333335
205.198853,209.59634927666667
204.799438,209.56373025666667
204.345139,209.52722335
206.401001,209.50018106333334
204.108231,209.46296213
204.386475,209.42519388333335
204.227173,209.3878765833333
203.623047,209.34929381999999
203.697739,209.30973678333334
204.418182,209.27475865333335
203.409927,209.23551604666667
203.709503,209.19754887333335
204.198517,209.16280568
203.414948,209.12569732333333
203.547592,209.08550323
204.808502,209.05127196666666
203.337509,209.01329736666668
203.483383,208.97576679666668
203.58606,208.94259164666667
203.556412,208.90986073
205.454636,208.88303456
203.940063,208.85255207666665
205.052643,208.82069869333333
204.083435,208.78459278666668
202.858414,208.74665323333332
202.515274,208.70529230333332
202.894577,208.66713154666667
204.325653,208.63427688000002
204.226517,208.59812753666668
204.553146,208.56449726666665
202.752289,208.52284809666665
203.079178,208.48638309999998
202.566147,208.4481844
202.650803,208.41161147333332
202.811584,208.37557494333333
205.359375,208.34712254000002
202.465118,208.30914931333334
202.438873,208.27356302
202.170212,208.23717472666667
204.003189,208.20335825
202.112762,208.16344222333333
202.452332,208.12213093666668
203.51091,208.08439340666666
202.376694,208.04407017666668
202.539642,208.00539189333333
202.623611,207.96985926
203.684204,207.93968520666667
203.843582,207.90617243
204.231003,207.87571187
203.11261,207.84192169
203.18782,207.80877624333334
202.458893,207.77372690666667
202.330872,207.73649485333334
202.02887,207.69835001666667
203.02948,207.66017008666668
204.43985,207.62781672333332
202.727432,207.59156875666667
203.433762,207.55738220333333
202.578064,207.52285497
203.83783,207.49342631
202.697571,207.45928914333334
204.37999,207.4265978
202.8974,207.38949010333332
203.616562,207.35670858
203.770172,207.32183217666667
204.94606,207.29013733
204.161835,207.25573273
204.70256,207.21990534666665
204.902878,207.18809026333335
202.950424,207.14806854333332
203.070084,207.11167964
203.672806,207.07595169333334
204.16893,207.04419123666668
203.185074,207.00807205666666
203.872772,206.97148661666665
204.139648,206.9390713
203.860229,206.90452636666666
203.829483,206.86662963666666
204.12529,206.8332952366667
204.109314,206.80284474666666
203.340149,206.76869796666665
205.017456,206.74150533
204.434738,206.71380981333334
204.416611,206.68166763333335
204.237122,206.64991999333333
204.307159,206.62019231000002
202.623184,206.57850585666668
206.211838,206.54841964666667
203.894363,206.51154210333334
203.652405,206.47514002333332
204.225983,206.44334467666667
205.552719,206.41475087666666
204.566589,206.38258122666667
204.034897,206.34925532
206.307495,206.32182663
207.028198,206.29926289666668
205.373047,206.27027287666667
205.305939,206.24176427
205.86171,206.21957860333333
206.656036,206.18988301333334
206.625214,206.16467244333333
206.347168,206.13770548333335
207.630112,206.11472401999998
207.378479,206.09130274666668
206.403641,206.06325053333333
206.934311,206.03606634000002
206.916641,206.00866328333333
205.676437,205.97961802333333
